   Elapsed time	  ECG I	iltered
          0.530	  0.265	 -0.020
          0.532	  0.180	 -0.025
          0.534	  0.160	 -0.035
          0.536	  0.010	 -0.040
          0.538	  0.030	 -0.050
          0.540	  0.030	 -0.050
          0.542	  0.085	 -0.050
          0.544	  0.165	 -0.045
          0.546	  0.350	 -0.035
          0.548	  0.300	 -0.025
          0.550	  0.230	 -0.020
          0.552	  0.100	 -0.015
          0.554	  0.080	 -0.015
          0.556	 -0.005	 -0.020
          0.558	  0.070	 -0.025
          0.560	  0.115	 -0.030
          0.562	  0.120	 -0.035
          0.564	  0.195	 -0.035
          0.566	  0.270	 -0.035
          0.568	  0.290	 -0.030
          0.570	  0.205	 -0.030
          0.572	  0.150	 -0.030
          0.574	  0.130	 -0.035
          0.576	 -0.030	 -0.040
          0.578	 -0.040	 -0.050
          0.580	  0.080	 -0.060
          0.582	  0.170	 -0.065
          0.584	  0.140	 -0.070
          0.586	  0.200	 -0.060
          0.588	  0.175	 -0.050
          0.590	  0.215	 -0.035
          0.592	  0.195	 -0.015
          0.594	  0.090	 -0.005
          0.596	  0.010	  0.000
          0.598	 -0.010	 -0.005
          0.600	  0.105	 -0.015
          0.602	  0.195	 -0.035
          0.604	  0.120	 -0.055
          0.606	  0.180	 -0.070
          0.608	  0.240	 -0.075
          0.610	  0.195	 -0.075
          0.612	  0.130	 -0.060
          0.614	  0.010	 -0.045
          0.616	 -0.010	 -0.025
          0.618	  0.040	 -0.005
          0.620	  0.075	  0.005
          0.622	  0.170	  0.010
          0.624	  0.210	  0.005
          0.626	  0.265	 -0.005
          0.628	  0.225	 -0.020
          0.630	  0.090	 -0.030
          0.632	  0.115	 -0.035
          0.634	  0.100	 -0.035
          0.636	  0.015	 -0.030
          0.638	  0.045	 -0.020
          0.640	  0.040	 -0.010
          0.642	  0.125	  0.000
          0.644	  0.175	  0.010
          0.646	  0.275	  0.015
          0.648	  0.265	  0.015
          0.650	  0.275	  0.020
          0.652	  0.140	  0.020
          0.654	  0.050	  0.025
          0.656	 -0.010	  0.025
          0.658	  0.045	  0.025
          0.660	  0.165	  0.030
          0.662	  0.165	  0.025
          0.664	  0.200	  0.020
          0.666	  0.230	  0.015
          0.668	  0.240	  0.005
          0.670	  0.205	 -0.005
          0.672	  0.145	 -0.010
          0.674	  0.105	 -0.010
          0.676	 -0.005	 -0.005
          0.678	  0.020	  0.005
          0.680	  0.005	  0.020
          0.682	  0.180	  0.035
          0.684	  0.285	  0.050
          0.686	  0.305	  0.065
          0.688	  0.265	  0.075
          0.690	  0.260	  0.085
          0.692	  0.200	  0.095
          0.694	  0.130	  0.095
          0.696	  0.145	  0.100
          0.698	  0.070	  0.100
          0.700	  0.180	  0.095
          0.702	  0.215	  0.095
          0.704	  0.290	  0.090
          0.706	  0.295	  0.080
          0.708	  0.265	  0.070
          0.710	  0.190	  0.060
          0.712	  0.165	  0.050
          0.714	  0.035	  0.040
          0.716	  0.035	  0.030
          0.718	  0.075	  0.025
          0.720	  0.140	  0.020
          0.722	  0.125	  0.020
          0.724	  0.230	  0.015
          0.726	  0.195	  0.015
          0.728	  0.200	  0.010
          0.730	  0.170	  0.010
          0.732	  0.095	  0.010
          0.734	 -0.040	  0.005
          0.736	 -0.005	  0.005
          0.738	  0.050	  0.005
          0.740	  0.065	  0.000
          0.742	  0.110	  0.000
          0.744	  0.180	  0.000
          0.746	  0.200	  0.000
          0.748	  0.190	  0.000
          0.750	  0.150	  0.005
          0.752	  0.080	  0.005
          0.754	 -0.010	  0.010
          0.756	 -0.010	  0.015
          0.758	  0.000	  0.020
          0.760	  0.105	  0.025
          0.762	  0.115	  0.030
          0.764	  0.235	  0.030
          0.766	  0.240	  0.030
          0.768	  0.190	  0.025
          0.770	  0.100	  0.020
          0.772	  0.000	  0.020
          0.774	 -0.030	  0.020
          0.776	  0.050	  0.020
          0.778	  0.100	  0.020
          0.780	  0.115	  0.025
          0.782	  0.095	  0.030
          0.784	  0.210	  0.035
          0.786	  0.190	  0.035
          0.788	  0.170	  0.030
          0.790	  0.105	  0.030
          0.792	  0.090	  0.025
          0.794	  0.025	  0.020
          0.796	 -0.040	  0.020
          0.798	  0.015	  0.025
          0.800	  0.060	  0.030
          0.802	  0.065	  0.040
          0.804	  0.280	  0.050
          0.806	  0.270	  0.055
          0.808	  0.175	  0.055
          0.810	  0.105	  0.050
          0.812	  0.020	  0.035
          0.814	 -0.060	  0.020
          0.816	 -0.075	  0.010
          0.818	 -0.020	  0.000
          0.820	  0.130	  0.000
          0.822	  0.115	  0.015
          0.824	  0.225	  0.040
          0.826	  0.240	  0.080
          0.828	  0.250	  0.130
          0.830	  0.290	  0.185
          0.832	  0.285	  0.255
          0.834	  0.255	  0.330
          0.836	  0.400	  0.410
          0.838	  0.475	  0.495
          0.840	  0.625	  0.590
          0.842	  0.790	  0.685
          0.844	  1.025	  0.780
          0.846	  1.095	  0.860
          0.848	  1.070	  0.920
          0.850	  1.080	  0.945
          0.852	  0.945	  0.935
          0.854	  0.790	  0.885
          0.856	  0.730	  0.795
          0.858	  0.665	  0.670
          0.860	  0.575	  0.530
          0.862	  0.365	  0.380
          0.864	  0.360	  0.250
          0.866	  0.240	  0.135
          0.868	  0.135	  0.060
          0.870	  0.015	  0.015
          0.872	  0.020	  0.000
          0.874	 -0.025	  0.015
          0.876	 -0.060	  0.040
          0.878	  0.015	  0.075
          0.880	  0.160	  0.105
          0.882	  0.250	  0.130
          0.884	  0.330	  0.140
          0.886	  0.345	  0.140
          0.888	  0.255	  0.135
          0.890	  0.210	  0.130
          0.892	  0.020	  0.120
          0.894	 -0.100	  0.110
          0.896	  0.030	  0.105
          0.898	  0.125	  0.105
          0.900	  0.165	  0.105
          0.902	  0.100	  0.105
          0.904	  0.275	  0.105
          0.906	  0.295	  0.110
          0.908	  0.245	  0.110
          0.910	  0.150	  0.115
          0.912	  0.095	  0.120
          0.914	  0.030	  0.120
          0.916	 -0.015	  0.120
          0.918	  0.075	  0.125
          0.920	  0.125	  0.125
          0.922	  0.200	  0.125
          0.924	  0.225	  0.125
          0.926	  0.175	  0.125
          0.928	  0.240	  0.130
          0.930	  0.200	  0.135
          0.932	  0.150	  0.140
          0.934	  0.045	  0.145
          0.936	  0.070	  0.150
          0.938	  0.065	  0.155
          0.940	  0.165	  0.155
          0.942	  0.255	  0.155
          0.944	  0.255	  0.155
          0.946	  0.225	  0.155
          0.948	  0.230	  0.155
          0.950	  0.185	  0.160
          0.952	  0.100	  0.165
          0.954	  0.030	  0.175
          0.956	  0.110	  0.180
          0.958	  0.250	  0.190
          0.960	  0.190	  0.190
          0.962	  0.165	  0.195
          0.964	  0.260	  0.190
          0.966	  0.270	  0.190
          0.968	  0.275	  0.185
          0.970	  0.170	  0.185
          0.972	  0.100	  0.185
          0.974	  0.125	  0.195
          0.976	  0.135	  0.205
          0.978	  0.140	  0.215
          0.980	  0.170	  0.230
          0.982	  0.325	  0.245
          0.984	  0.355	  0.255
          0.986	  0.305	  0.260
          0.988	  0.270	  0.260
          0.990	  0.215	  0.260
          0.992	  0.190	  0.255
          0.994	  0.150	  0.250
          0.996	  0.145	  0.240
          0.998	  0.145	  0.235
          1.000	  0.230	  0.235
          1.002	  0.275	  0.230
          1.004	  0.320	  0.235
          1.006	  0.290	  0.245
          1.008	  0.310	  0.255
          1.010	  0.285	  0.270
          1.012	  0.175	  0.285
          1.014	  0.200	  0.295
          1.016	  0.180	  0.310
          1.018	  0.240	  0.320
          1.020	  0.340	  0.325
          1.022	  0.445	  0.325
          1.024	  0.400	  0.325
          1.026	  0.365	  0.325
          1.028	  0.305	  0.325
          1.030	  0.240	  0.330
          1.032	  0.185	  0.340
          1.034	  0.245	  0.355
          1.036	  0.270	  0.370
          1.038	  0.385	  0.385
          1.040	  0.425	  0.405
          1.042	  0.490	  0.420
          1.044	  0.475	  0.430
          1.046	  0.480	  0.435
          1.048	  0.450	  0.440
          1.050	  0.350	  0.440
          1.052	  0.305	  0.440
          1.054	  0.370	  0.440
          1.056	  0.345	  0.440
          1.058	  0.405	  0.445
          1.060	  0.400	  0.445
          1.062	  0.495	  0.450
          1.064	  0.515	  0.455
          1.066	  0.560	  0.460
          1.068	  0.445	  0.460
          1.070	  0.410	  0.460
          1.072	  0.370	  0.455
          1.074	  0.300	  0.450
          1.076	  0.295	  0.440
          1.078	  0.350	  0.425
          1.080	  0.375	  0.410
          1.082	  0.430	  0.390
          1.084	  0.420	  0.375
          1.086	  0.370	  0.355
          1.088	  0.310	  0.335
          1.090	  0.270	  0.320
          1.092	  0.185	  0.300
          1.094	  0.185	  0.285
          1.096	  0.080	  0.265
          1.098	  0.175	  0.245
          1.100	  0.165	  0.220
          1.102	  0.270	  0.195
          1.104	  0.240	  0.170
          1.106	  0.165	  0.145
          1.108	  0.045	  0.120
          1.110	 -0.040	  0.105
          1.112	 -0.070	  0.090
          1.114	 -0.035	  0.080
          1.116	 -0.025	  0.070
          1.118	 -0.025	  0.060
          1.120	  0.010	  0.050
          1.122	  0.070	  0.030
          1.124	  0.070	  0.010
          1.126	  0.010	 -0.015
          1.128	 -0.155	 -0.040
          1.130	 -0.185	 -0.065
          1.132	 -0.250	 -0.085
          1.134	 -0.200	 -0.095
          1.136	 -0.215	 -0.105
          1.138	 -0.195	 -0.110
          1.140	 -0.165	 -0.110
          1.142	 -0.065	 -0.115
          1.144	 -0.095	 -0.125
          1.146	 -0.170	 -0.145
          1.148	 -0.245	 -0.170
          1.150	 -0.335	 -0.200
          1.152	 -0.415	 -0.230
          1.154	 -0.395	 -0.255
          1.156	 -0.400	 -0.275
          1.158	 -0.335	 -0.290
          1.160	 -0.270	 -0.290
          1.162	 -0.235	 -0.290
          1.164	 -0.270	 -0.280
          1.166	 -0.255	 -0.275
          1.168	 -0.350	 -0.270
          1.170	 -0.355	 -0.270
          1.172	 -0.500	 -0.275
          1.174	 -0.465	 -0.285
          1.176	 -0.380	 -0.290
          1.178	 -0.320	 -0.295
          1.180	 -0.360	 -0.295
          1.182	 -0.245	 -0.295
          1.184	 -0.270	 -0.295
          1.186	 -0.315	 -0.290
          1.188	 -0.325	 -0.290
          1.190	 -0.340	 -0.295
          1.192	 -0.495	 -0.300
          1.194	 -0.485	 -0.310
          1.196	 -0.440	 -0.315
          1.198	 -0.350	 -0.325
          1.200	 -0.365	 -0.330
          1.202	 -0.275	 -0.330
          1.204	 -0.310	 -0.320
          1.206	 -0.335	 -0.315
          1.208	 -0.385	 -0.305
          1.210	 -0.405	 -0.295
          1.212	 -0.445	 -0.285
          1.214	 -0.465	 -0.280
          1.216	 -0.400	 -0.285
          1.218	 -0.330	 -0.285
          1.220	 -0.260	 -0.295
          1.222	 -0.210	 -0.300
          1.224	 -0.340	 -0.310
          1.226	 -0.405	 -0.320
          1.228	 -0.415	 -0.325
          1.230	 -0.405	 -0.325
          1.232	 -0.510	 -0.325
          1.234	 -0.525	 -0.325
          1.236	 -0.485	 -0.320
          1.238	 -0.390	 -0.310
          1.240	 -0.360	 -0.305
          1.242	 -0.215	 -0.295
          1.244	 -0.245	 -0.285
          1.246	 -0.285	 -0.280
          1.248	 -0.335	 -0.275
          1.250	 -0.370	 -0.275
          1.252	 -0.470	 -0.275
          1.254	 -0.480	 -0.275
          1.256	 -0.430	 -0.280
          1.258	 -0.375	 -0.285
          1.260	 -0.295	 -0.285
          1.262	 -0.230	 -0.285
          1.264	 -0.275	 -0.285
          1.266	 -0.340	 -0.280
          1.268	 -0.335	 -0.280
          1.270	 -0.420	 -0.275
          1.272	 -0.425	 -0.275
          1.274	 -0.420	 -0.275
          1.276	 -0.370	 -0.275
          1.278	 -0.375	 -0.275
          1.280	 -0.370	 -0.275
          1.282	 -0.210	 -0.280
          1.284	 -0.290	 -0.285
          1.286	 -0.350	 -0.295
          1.288	 -0.395	 -0.300
          1.290	 -0.425	 -0.310
          1.292	 -0.465	 -0.315
          1.294	 -0.540	 -0.320
          1.296	 -0.435	 -0.320
          1.298	 -0.395	 -0.310
          1.300	 -0.305	 -0.295
          1.302	 -0.285	 -0.275
          1.304	 -0.275	 -0.255
          1.306	 -0.220	 -0.230
          1.308	 -0.275	 -0.210
          1.310	 -0.350	 -0.200
          1.312	 -0.405	 -0.195
          1.314	 -0.415	 -0.195
          1.316	 -0.310	 -0.205
          1.318	 -0.315	 -0.220
          1.320	 -0.260	 -0.230
          1.322	 -0.215	 -0.240
          1.324	 -0.230	 -0.240
          1.326	 -0.270	 -0.235
          1.328	 -0.315	 -0.220
          1.330	 -0.395	 -0.205
          1.332	 -0.360	 -0.190
          1.334	 -0.310	 -0.180
          1.336	 -0.285	 -0.175
          1.338	 -0.215	 -0.175
          1.340	 -0.200	 -0.185
          1.342	 -0.215	 -0.200
          1.344	 -0.240	 -0.210
          1.346	 -0.315	 -0.225
          1.348	 -0.350	 -0.230
          1.350	 -0.375	 -0.230
          1.352	 -0.405	 -0.225
          1.354	 -0.345	 -0.220
          1.356	 -0.260	 -0.210
          1.358	 -0.265	 -0.200
          1.360	 -0.170	 -0.195
          1.362	 -0.120	 -0.190
          1.364	 -0.255	 -0.190
          1.366	 -0.280	 -0.190
          1.368	 -0.315	 -0.190
          1.370	 -0.365	 -0.190
          1.372	 -0.315	 -0.185
          1.374	 -0.320	 -0.175
          1.376	 -0.260	 -0.165
          1.378	 -0.180	 -0.155
          1.380	 -0.080	 -0.145
          1.382	 -0.125	 -0.135
          1.384	 -0.185	 -0.130
          1.386	 -0.215	 -0.120
          1.388	 -0.230	 -0.115
          1.390	 -0.305	 -0.115
          1.392	 -0.240	 -0.110
          1.394	 -0.245	 -0.105
          1.396	 -0.170	 -0.105
          1.398	 -0.130	 -0.100
          1.400	 -0.090	 -0.100
          1.402	 -0.070	 -0.100
          1.404	 -0.155	 -0.100
          1.406	 -0.130	 -0.100
          1.408	 -0.180	 -0.105
          1.410	 -0.290	 -0.105
          1.412	 -0.315	 -0.110
          1.414	 -0.260	 -0.115
          1.416	 -0.185	 -0.115
          1.418	 -0.155	 -0.110
          1.420	 -0.070	 -0.105
          1.422	 -0.085	 -0.100
          1.424	 -0.130	 -0.095
          1.426	 -0.165	 -0.085
          1.428	 -0.150	 -0.080
          1.430	 -0.250	 -0.080
          1.432	 -0.270	 -0.075
          1.434	 -0.210	 -0.075
          1.436	 -0.195	 -0.080
          1.438	 -0.130	 -0.085
          1.440	  0.010	 -0.095
          1.442	 -0.055	 -0.100
          1.444	 -0.145	 -0.105
          1.446	 -0.205	 -0.105
          1.448	 -0.190	 -0.105
          1.450	 -0.300	 -0.105
          1.452	 -0.255	 -0.105
          1.454	 -0.210	 -0.100
          1.456	 -0.175	 -0.105
          1.458	 -0.120	 -0.105
          1.460	 -0.030	 -0.115
          1.462	 -0.070	 -0.120
          1.464	 -0.240	 -0.130
          1.466	 -0.240	 -0.140
          1.468	 -0.225	 -0.145
          1.470	 -0.300	 -0.145
          1.472	 -0.280	 -0.140
          1.474	 -0.280	 -0.130
          1.476	 -0.170	 -0.120
          1.478	 -0.160	 -0.110
          1.480	 -0.025	 -0.100
          1.482	 -0.085	 -0.095
          1.484	 -0.130	 -0.095
          1.486	 -0.170	 -0.100
          1.488	 -0.255	 -0.110
          1.490	 -0.285	 -0.120
          1.492	 -0.275	 -0.125
          1.494	 -0.265	 -0.130
          1.496	 -0.170	 -0.130
          1.498	 -0.105	 -0.120
          1.500	 -0.065	 -0.110
          1.502	 -0.030	 -0.095
          1.504	 -0.035	 -0.080
          1.506	 -0.130	 -0.065
          1.508	 -0.135	 -0.060
          1.510	 -0.235	 -0.055
          1.512	 -0.330	 -0.060
          1.514	 -0.225	 -0.070
          1.516	 -0.140	 -0.080
          1.518	 -0.050	 -0.090
          1.520	 -0.040	 -0.100
          1.522	  0.000	 -0.110
          1.524	 -0.105	 -0.110
          1.526	 -0.205	 -0.110
          1.528	 -0.235	 -0.110
          1.530	 -0.285	 -0.105
          1.532	 -0.250	 -0.105
          1.534	 -0.230	 -0.105
          1.536	 -0.160	 -0.105
          1.538	 -0.125	 -0.105
          1.540	 -0.050	 -0.100
          1.542	 -0.005	 -0.100
          1.544	 -0.075	 -0.090
          1.546	 -0.155	 -0.085
          1.548	 -0.245	 -0.075
          1.550	 -0.210	 -0.070
          1.552	 -0.230	 -0.065
          1.554	 -0.240	 -0.070
          1.556	 -0.110	 -0.075
          1.558	  0.000	 -0.085
          1.560	  0.015	 -0.090
          1.562	 -0.010	 -0.095
          1.564	 -0.190	 -0.090
          1.566	 -0.225	 -0.070
          1.568	 -0.130	 -0.040
          1.570	 -0.130	  0.005
          1.572	  0.005	  0.070
          1.574	  0.075	  0.145
          1.576	  0.180	  0.240
          1.578	  0.390	  0.345
          1.580	  0.500	  0.455
          1.582	  0.665	  0.560
          1.584	  0.740	  0.655
          1.586	  0.765	  0.730
          1.588	  0.680	  0.780
          1.590	  0.635	  0.790
          1.592	  0.610	  0.765
          1.594	  0.625	  0.700
          1.596	  0.540	  0.605
          1.598	  0.530	  0.485
          1.600	  0.425	  0.350
          1.602	  0.315	  0.215
          1.604	  0.090	  0.090
          1.606	 -0.155	 -0.015
          1.608	 -0.290	 -0.100
          1.610	 -0.390	 -0.160
          1.612	 -0.360	 -0.200
          1.614	 -0.255	 -0.215
          1.616	 -0.235	 -0.215
          1.618	 -0.100	 -0.205
          1.620	 -0.095	 -0.190
          1.622	 -0.095	 -0.170
          1.624	 -0.130	 -0.150
          1.626	 -0.215	 -0.130
          1.628	 -0.280	 -0.110
          1.630	 -0.200	 -0.095
          1.632	 -0.155	 -0.085
          1.634	 -0.135	 -0.080
          1.636	 -0.070	 -0.085
          1.638	 -0.050	 -0.090
          1.640	 -0.120	 -0.100
          1.642	 -0.050	 -0.115
          1.644	 -0.125	 -0.125
          1.646	 -0.145	 -0.135
          1.648	 -0.235	 -0.135
          1.650	 -0.250	 -0.135
          1.652	 -0.210	 -0.125
          1.654	 -0.180	 -0.115
          1.656	 -0.130	 -0.100
          1.658	 -0.020	 -0.090
          1.660	  0.020	 -0.080
          1.662	 -0.035	 -0.075
          1.664	 -0.055	 -0.075
          1.666	 -0.050	 -0.080
          1.668	 -0.150	 -0.080
          1.670	 -0.245	 -0.085
          1.672	 -0.240	 -0.090
          1.674	 -0.165	 -0.095
          1.676	 -0.040	 -0.095
          1.678	  0.070	 -0.095
          1.680	  0.005	 -0.095
          1.682	 -0.090	 -0.095
          1.684	 -0.085	 -0.095
          1.686	 -0.155	 -0.095
          1.688	 -0.205	 -0.095
          1.690	 -0.190	 -0.090
          1.692	 -0.200	 -0.085
          1.694	 -0.100	 -0.080
          1.696	 -0.035	 -0.070
          1.698	  0.100	 -0.065
          1.700	  0.020	 -0.060
          1.702	 -0.035	 -0.060
          1.704	 -0.075	 -0.060
          1.706	 -0.140	 -0.070
          1.708	 -0.205	 -0.075
          1.710	 -0.165	 -0.085
          1.712	 -0.160	 -0.090
          1.714	 -0.130	 -0.095
          1.716	 -0.055	 -0.090
          1.718	  0.040	 -0.085
          1.720	  0.045	 -0.075
          1.722	 -0.025	 -0.065
          1.724	 -0.090	 -0.060
          1.726	 -0.060	 -0.055
          1.728	 -0.155	 -0.055
          1.730	 -0.135	 -0.060
          1.732	 -0.135	 -0.065
          1.734	 -0.030	 -0.070
          1.736	 -0.105	 -0.070
          1.738	  0.025	 -0.070
          1.740	  0.080	 -0.060
          1.742	  0.065	 -0.050
          1.744	  0.035	 -0.030
