   Elapsed time	  ECG I	iltered
          0.234	 -0.035	  0.005
          0.236	 -0.090	 -0.010
          0.238	 -0.040	 -0.020
          0.240	  0.070	 -0.025
          0.242	  0.075	 -0.025
          0.244	 -0.045	 -0.020
          0.246	 -0.060	 -0.010
          0.248	 -0.030	  0.000
          0.250	 -0.125	  0.015
          0.252	 -0.130	  0.030
          0.254	 -0.035	  0.040
          0.256	  0.075	  0.050
          0.258	  0.085	  0.055
          0.260	  0.125	  0.055
          0.262	  0.125	  0.060
          0.264	  0.065	  0.060
          0.266	  0.040	  0.065
          0.268	 -0.060	  0.070
          0.270	 -0.115	  0.080
          0.272	 -0.005	  0.090
          0.274	 -0.020	  0.100
          0.276	  0.100	  0.110
          0.278	  0.140	  0.115
          0.280	  0.230	  0.120
          0.282	  0.205	  0.130
          0.284	  0.095	  0.135
          0.286	  0.050	  0.140
          0.288	  0.100	  0.150
          0.290	  0.090	  0.155
          0.292	 -0.010	  0.160
          0.294	  0.035	  0.160
          0.296	  0.200	  0.160
          0.298	  0.200	  0.160
          0.300	  0.245	  0.155
          0.302	  0.225	  0.150
          0.304	  0.105	  0.145
          0.306	  0.005	  0.145
          0.308	 -0.030	  0.145
          0.310	  0.005	  0.145
          0.312	  0.110	  0.150
          0.314	  0.195	  0.155
          0.316	  0.200	  0.165
          0.318	  0.200	  0.165
          0.320	  0.140	  0.165
          0.322	  0.145	  0.165
          0.324	  0.160	  0.160
          0.326	  0.130	  0.150
          0.328	  0.020	  0.135
          0.330	 -0.010	  0.125
          0.332	  0.015	  0.110
          0.334	  0.025	  0.100
          0.336	 -0.025	  0.085
          0.338	  0.065	  0.075
          0.340	  0.200	  0.070
          0.342	  0.200	  0.060
          0.344	  0.075	  0.055
          0.346	 -0.055	  0.045
          0.348	 -0.155	  0.035
          0.350	 -0.180	  0.025
          0.352	 -0.025	  0.010
          0.354	  0.000	 -0.005
          0.356	 -0.095	 -0.020
          0.358	 -0.030	 -0.035
          0.360	  0.020	 -0.045
          0.362	  0.035	 -0.055
          0.364	 -0.045	 -0.060
          0.366	 -0.040	 -0.060
          0.368	 -0.190	 -0.060
          0.370	 -0.275	 -0.060
          0.372	 -0.195	 -0.055
          0.374	 -0.200	 -0.055
          0.376	 -0.090	 -0.060
          0.378	  0.025	 -0.060
          0.380	  0.055	 -0.065
          0.382	  0.015	 -0.070
          0.384	  0.010	 -0.075
          0.386	 -0.210	 -0.080
          0.388	 -0.270	 -0.080
          0.390	 -0.185	 -0.080
          0.392	 -0.200	 -0.085
          0.394	 -0.315	 -0.085
          0.396	 -0.070	 -0.085
          0.398	  0.065	 -0.090
          0.400	  0.055	 -0.090
          0.402	 -0.105	 -0.090
          0.404	 -0.090	 -0.085
          0.406	 -0.090	 -0.080
          0.408	 -0.215	 -0.070
          0.410	 -0.275	 -0.060
          0.412	 -0.275	 -0.045
          0.414	 -0.010	 -0.040
          0.416	 -0.030	 -0.035
          0.418	  0.085	 -0.035
          0.420	  0.055	 -0.040
          0.422	 -0.005	 -0.050
          0.424	 -0.105	 -0.060
          0.426	 -0.180	 -0.075
          0.428	 -0.270	 -0.090
          0.430	 -0.305	 -0.100
          0.432	 -0.230	 -0.105
          0.434	 -0.090	 -0.110
          0.436	 -0.070	 -0.105
          0.438	 -0.065	 -0.095
          0.440	 -0.025	 -0.085
          0.442	 -0.010	 -0.070
          0.444	 -0.065	 -0.060
          0.446	 -0.090	 -0.050
          0.448	 -0.095	 -0.040
          0.450	 -0.185	 -0.040
          0.452	 -0.265	 -0.045
          0.454	 -0.120	 -0.055
          0.456	 -0.090	 -0.065
          0.458	  0.020	 -0.080
          0.460	 -0.055	 -0.090
          0.462	 -0.060	 -0.090
          0.464	 -0.090	 -0.090
          0.466	 -0.175	 -0.090
          0.468	 -0.205	 -0.080
          0.470	 -0.170	 -0.075
          0.472	 -0.125	 -0.070
          0.474	 -0.195	 -0.065
          0.476	 -0.080	 -0.070
          0.478	  0.010	 -0.075
          0.480	  0.045	 -0.080
          0.482	 -0.060	 -0.085
          0.484	 -0.085	 -0.085
          0.486	 -0.125	 -0.080
          0.488	 -0.260	 -0.075
          0.490	 -0.195	 -0.065
          0.492	 -0.200	 -0.060
          0.494	 -0.120	 -0.055
          0.496	 -0.070	 -0.055
          0.498	  0.015	 -0.060
          0.500	  0.010	 -0.065
          0.502	  0.010	 -0.075
          0.504	 -0.060	 -0.075
          0.506	 -0.210	 -0.075
          0.508	 -0.285	 -0.075
          0.510	 -0.275	 -0.070
          0.512	 -0.140	 -0.065
          0.514	 -0.105	 -0.065
          0.516	 -0.065	 -0.070
          0.518	 -0.025	 -0.080
          0.520	  0.030	 -0.090
          0.522	 -0.125	 -0.100
          0.524	 -0.115	 -0.105
          0.526	 -0.095	 -0.100
          0.528	 -0.295	 -0.090
          0.530	 -0.275	 -0.080
          0.532	 -0.140	 -0.065
          0.534	 -0.100	 -0.050
          0.536	  0.020	 -0.050
          0.538	  0.000	 -0.055
          0.540	 -0.050	 -0.065
          0.542	 -0.085	 -0.085
          0.544	 -0.020	 -0.105
          0.546	 -0.305	 -0.120
          0.548	 -0.335	 -0.130
          0.550	 -0.270	 -0.125
          0.552	 -0.155	 -0.115
          0.554	 -0.060	 -0.100
          0.556	 -0.050	 -0.080
          0.558	 -0.015	 -0.065
          0.560	  0.105	 -0.060
          0.562	 -0.075	 -0.065
          0.564	 -0.235	 -0.075
          0.566	 -0.235	 -0.090
          0.568	 -0.260	 -0.100
          0.570	 -0.220	 -0.105
          0.572	 -0.135	 -0.105
          0.574	 -0.115	 -0.100
          0.576	 -0.020	 -0.085
          0.578	 -0.015	 -0.065
          0.580	  0.000	 -0.050
          0.582	 -0.025	 -0.040
          0.584	 -0.110	 -0.040
          0.586	 -0.180	 -0.040
          0.588	 -0.225	 -0.050
          0.590	 -0.180	 -0.060
          0.592	 -0.140	 -0.070
          0.594	 -0.130	 -0.075
          0.596	 -0.120	 -0.080
          0.598	 -0.005	 -0.080
          0.600	 -0.015	 -0.080
          0.602	 -0.070	 -0.075
          0.604	 -0.025	 -0.075
          0.606	 -0.265	 -0.070
          0.608	 -0.240	 -0.070
          0.610	 -0.190	 -0.070
          0.612	 -0.145	 -0.070
          0.614	 -0.140	 -0.070
          0.616	 -0.020	 -0.065
          0.618	  0.045	 -0.065
          0.620	 -0.005	 -0.060
          0.622	 -0.050	 -0.055
          0.624	 -0.045	 -0.050
          0.626	 -0.165	 -0.050
          0.628	 -0.260	 -0.050
          0.630	 -0.210	 -0.055
          0.632	 -0.140	 -0.060
          0.634	 -0.080	 -0.065
          0.636	 -0.030	 -0.075
          0.638	  0.070	 -0.080
          0.640	 -0.015	 -0.085
          0.642	 -0.145	 -0.085
          0.644	 -0.170	 -0.085
          0.646	 -0.210	 -0.080
          0.648	 -0.210	 -0.070
          0.650	 -0.175	 -0.060
          0.652	 -0.005	 -0.055
          0.654	 -0.115	 -0.045
          0.656	  0.005	 -0.035
          0.658	  0.085	 -0.030
          0.660	  0.000	 -0.030
          0.662	 -0.050	 -0.025
          0.664	 -0.055	 -0.025
          0.666	 -0.180	 -0.025
          0.668	 -0.215	 -0.025
          0.670	 -0.225	 -0.025
          0.672	 -0.080	 -0.025
          0.674	  0.030	 -0.020
          0.676	  0.040	 -0.020
          0.678	  0.085	 -0.020
          0.680	  0.130	 -0.020
          0.682	 -0.180	 -0.020
          0.684	 -0.105	 -0.025
          0.686	 -0.045	 -0.025
          0.688	 -0.225	 -0.035
          0.690	 -0.160	 -0.040
          0.692	 -0.165	 -0.050
          0.694	 -0.095	 -0.055
          0.696	  0.075	 -0.065
          0.698	  0.005	 -0.070
          0.700	 -0.045	 -0.075
          0.702	 -0.140	 -0.075
          0.704	 -0.140	 -0.075
          0.706	 -0.245	 -0.070
          0.708	 -0.245	 -0.070
          0.710	 -0.135	 -0.070
          0.712	 -0.070	 -0.065
          0.714	 -0.180	 -0.070
          0.716	  0.000	 -0.070
          0.718	  0.040	 -0.070
          0.720	  0.010	 -0.075
          0.722	 -0.105	 -0.075
          0.724	 -0.120	 -0.075
          0.726	 -0.325	 -0.080
          0.728	 -0.290	 -0.085
          0.730	 -0.170	 -0.095
          0.732	 -0.180	 -0.110
          0.734	 -0.125	 -0.120
          0.736	  0.025	 -0.125
          0.738	 -0.080	 -0.120
          0.740	 -0.075	 -0.100
          0.742	 -0.120	 -0.060
          0.744	 -0.155	  0.005
          0.746	 -0.005	  0.090
          0.748	  0.030	  0.195
          0.750	  0.210	  0.315
          0.752	  0.400	  0.430
          0.754	  0.580	  0.535
          0.756	  0.865	  0.625
          0.758	  0.800	  0.685
          0.760	  0.665	  0.710
          0.762	  0.615	  0.710
          0.764	  0.610	  0.680
          0.766	  0.445	  0.625
          0.768	  0.465	  0.555
          0.770	  0.400	  0.475
          0.772	  0.455	  0.385
          0.774	  0.365	  0.290
          0.776	  0.175	  0.195
          0.778	  0.025	  0.105
          0.780	 -0.030	  0.025
          0.782	 -0.175	 -0.045
          0.784	 -0.165	 -0.100
          0.786	 -0.305	 -0.135
          0.788	 -0.230	 -0.145
          0.790	 -0.250	 -0.140
          0.792	 -0.140	 -0.120
          0.794	 -0.095	 -0.090
          0.796	  0.085	 -0.055
          0.798	  0.030	 -0.030
          0.800	 -0.045	 -0.015
          0.802	 -0.040	 -0.010
          0.804	 -0.190	 -0.020
          0.806	 -0.220	 -0.035
          0.808	 -0.205	 -0.050
          0.810	 -0.210	 -0.070
          0.812	 -0.145	 -0.080
          0.814	 -0.040	 -0.085
          0.816	  0.120	 -0.085
          0.818	 -0.005	 -0.080
          0.820	 -0.115	 -0.075
          0.822	 -0.185	 -0.075
          0.824	 -0.160	 -0.080
          0.826	 -0.270	 -0.085
          0.828	 -0.255	 -0.095
          0.830	 -0.255	 -0.100
          0.832	 -0.115	 -0.100
          0.834	 -0.030	 -0.090
          0.836	  0.035	 -0.070
          0.838	  0.070	 -0.045
          0.840	  0.010	 -0.020
          0.842	 -0.100	  0.005
          0.844	 -0.065	  0.025
          0.846	 -0.160	  0.035
          0.848	 -0.155	  0.030
          0.850	 -0.140	  0.015
          0.852	 -0.095	 -0.005
          0.854	 -0.015	 -0.030
          0.856	  0.040	 -0.055
          0.858	  0.095	 -0.070
          0.860	 -0.095	 -0.075
          0.862	 -0.165	 -0.075
          0.864	 -0.100	 -0.065
          0.866	 -0.265	 -0.055
          0.868	 -0.215	 -0.040
          0.870	 -0.095	 -0.030
          0.872	 -0.070	 -0.030
          0.874	 -0.030	 -0.030
          0.876	  0.100	 -0.030
          0.878	 -0.020	 -0.035
          0.880	 -0.060	 -0.035
          0.882	 -0.155	 -0.030
          0.884	 -0.115	 -0.025
          0.886	 -0.160	 -0.015
          0.888	 -0.105	 -0.005
          0.890	 -0.100	  0.005
          0.892	 -0.045	  0.010
          0.894	  0.040	  0.005
          0.896	  0.000	  0.000
          0.898	  0.080	 -0.015
          0.900	  0.060	 -0.030
          0.902	 -0.105	 -0.045
          0.904	 -0.235	 -0.055
          0.906	 -0.220	 -0.060
          0.908	 -0.170	 -0.060
          0.910	 -0.185	 -0.055
          0.912	 -0.110	 -0.040
          0.914	  0.065	 -0.030
          0.916	  0.070	 -0.015
          0.918	  0.070	  0.000
          0.920	  0.020	  0.010
          0.922	 -0.070	  0.020
          0.924	 -0.165	  0.030
          0.926	 -0.135	  0.035
          0.928	 -0.060	  0.040
          0.930	 -0.020	  0.045
          0.932	 -0.035	  0.055
          0.934	  0.105	  0.060
          0.936	  0.135	  0.070
          0.938	  0.190	  0.075
          0.940	  0.090	  0.080
          0.942	  0.015	  0.080
          0.944	 -0.045	  0.075
          0.946	 -0.115	  0.070
          0.948	 -0.135	  0.065
          0.950	  0.005	  0.060
          0.952	 -0.005	  0.055
          0.954	  0.080	  0.060
          0.956	  0.210	  0.070
          0.958	  0.160	  0.085
          0.960	  0.070	  0.105
          0.962	  0.090	  0.125
          0.964	 -0.030	  0.145
          0.966	 -0.020	  0.155
          0.968	  0.025	  0.165
          0.970	  0.070	  0.165
          0.972	  0.170	  0.160
          0.974	  0.270	  0.155
          0.976	  0.250	  0.150
          0.978	  0.165	  0.150
          0.980	  0.130	  0.155
          0.982	  0.070	  0.165
          0.984	 -0.020	  0.175
          0.986	  0.070	  0.185
          0.988	  0.055	  0.195
          0.990	  0.080	  0.195
          0.992	  0.170	  0.195
          0.994	  0.310	  0.185
          0.996	  0.290	  0.170
          0.998	  0.150	  0.160
          1.000	  0.110	  0.150
          1.002	  0.090	  0.145
          1.004	 -0.005	  0.145
          1.006	  0.005	  0.145
          1.008	 -0.020	  0.145
          1.010	  0.025	  0.145
          1.012	  0.065	  0.140
          1.014	  0.210	  0.125
          1.016	  0.225	  0.110
          1.018	  0.140	  0.085
          1.020	  0.020	  0.065
          1.022	 -0.025	  0.050
          1.024	 -0.155	  0.035
          1.026	 -0.160	  0.030
          1.028	 -0.130	  0.030
          1.030	  0.120	  0.035
          1.032	  0.015	  0.040
          1.034	  0.050	  0.035
          1.036	  0.105	  0.030
          1.038	  0.080	  0.015
          1.040	 -0.085	  0.000
          1.042	 -0.125	 -0.020
          1.044	 -0.260	 -0.035
          1.046	 -0.185	 -0.045
          1.048	 -0.160	 -0.050
          1.050	 -0.010	 -0.045
          1.052	 -0.075	 -0.035
          1.054	  0.035	 -0.020
          1.056	  0.015	 -0.010
          1.058	  0.035	 -0.005
          1.060	 -0.030	 -0.005
          1.062	 -0.120	 -0.010
          1.064	 -0.185	 -0.025
          1.066	 -0.190	 -0.040
          1.068	 -0.210	 -0.055
          1.070	 -0.165	 -0.065
          1.072	 -0.065	 -0.075
          1.074	  0.095	 -0.075
          1.076	 -0.070	 -0.070
          1.078	 -0.060	 -0.065
          1.080	 -0.055	 -0.055
          1.082	 -0.030	 -0.050
          1.084	 -0.210	 -0.045
          1.086	 -0.215	 -0.045
          1.088	 -0.225	 -0.045
          1.090	 -0.145	 -0.050
          1.092	 -0.110	 -0.055
          1.094	  0.065	 -0.065
          1.096	  0.035	 -0.070
          1.098	 -0.070	 -0.075
          1.100	 -0.090	 -0.075
          1.102	 -0.225	 -0.070
          1.104	 -0.240	 -0.065
          1.106	 -0.145	 -0.060
          1.108	 -0.150	 -0.055
          1.110	 -0.145	 -0.045
          1.112	 -0.100	 -0.040
          1.114	  0.020	 -0.035
          1.116	  0.025	 -0.035
          1.118	 -0.030	 -0.035
          1.120	 -0.110	 -0.040
          1.122	 -0.100	 -0.045
          1.124	 -0.150	 -0.050
          1.126	 -0.270	 -0.060
          1.128	 -0.190	 -0.065
          1.130	 -0.105	 -0.070
          1.132	 -0.100	 -0.070
          1.134	  0.095	 -0.065
          1.136	 -0.065	 -0.065
          1.138	 -0.075	 -0.060
          1.140	 -0.130	 -0.050
          1.142	  0.040	 -0.045
          1.144	 -0.235	 -0.040
          1.146	 -0.220	 -0.040
          1.148	 -0.150	 -0.040
          1.150	 -0.040	 -0.035
          1.152	 -0.030	 -0.040
          1.154	  0.020	 -0.040
          1.156	  0.025	 -0.040
          1.158	 -0.030	 -0.045
          1.160	 -0.105	 -0.050
          1.162	 -0.220	 -0.055
          1.164	 -0.220	 -0.060
          1.166	 -0.265	 -0.065
          1.168	 -0.120	 -0.070
          1.170	 -0.030	 -0.070
          1.172	 -0.105	 -0.070
          1.174	  0.020	 -0.065
          1.176	  0.035	 -0.060
          1.178	 -0.105	 -0.055
          1.180	 -0.020	 -0.045
          1.182	 -0.195	 -0.040
          1.184	 -0.230	 -0.040
          1.186	 -0.180	 -0.040
          1.188	 -0.155	 -0.040
          1.190	 -0.125	 -0.045
          1.192	 -0.005	 -0.050
          1.194	  0.100	 -0.050
          1.196	 -0.010	 -0.050
          1.198	  0.000	 -0.045
          1.200	 -0.120	 -0.035
          1.202	 -0.215	 -0.025
          1.204	 -0.185	 -0.020
          1.206	 -0.145	 -0.015
          1.208	 -0.150	 -0.015
          1.210	 -0.075	 -0.020
          1.212	  0.025	 -0.030
          1.214	  0.120	 -0.040
          1.216	  0.045	 -0.055
          1.218	 -0.105	 -0.060
          1.220	 -0.160	 -0.065
          1.222	 -0.180	 -0.065
          1.224	 -0.310	 -0.060
          1.226	 -0.230	 -0.050
          1.228	 -0.055	 -0.045
          1.230	 -0.070	 -0.040
          1.232	  0.020	 -0.035
          1.234	  0.125	 -0.035
          1.236	  0.045	 -0.040
          1.238	 -0.100	 -0.045
          1.240	 -0.160	 -0.055
          1.242	 -0.235	 -0.060
          1.244	 -0.225	 -0.060
          1.246	 -0.235	 -0.055
          1.248	 -0.065	 -0.055
          1.250	 -0.055	 -0.045
          1.252	  0.025	 -0.040
          1.254	  0.045	 -0.030
          1.256	  0.010	 -0.030
          1.258	 -0.070	 -0.025
          1.260	 -0.165	 -0.025
          1.262	 -0.255	 -0.030
          1.264	 -0.280	 -0.035
          1.266	 -0.125	 -0.040
          1.268	 -0.070	 -0.045
          1.270	 -0.065	 -0.045
          1.272	  0.070	 -0.050
          1.274	  0.025	 -0.050
          1.276	 -0.050	 -0.050
          1.278	 -0.085	 -0.045
          1.280	 -0.085	 -0.045
          1.282	 -0.265	 -0.040
          1.284	 -0.285	 -0.035
          1.286	 -0.170	 -0.030
          1.288	  0.010	 -0.030
          1.290	  0.060	 -0.025
          1.292	 -0.020	 -0.025
          1.294	  0.035	 -0.025
          1.296	 -0.040	 -0.030
          1.298	 -0.085	 -0.030
          1.300	 -0.065	 -0.030
          1.302	 -0.165	 -0.035
          1.304	 -0.240	 -0.035
          1.306	 -0.185	 -0.040
          1.308	 -0.090	 -0.045
          1.310	 -0.070	 -0.050
          1.312	  0.060	 -0.055
          1.314	  0.030	 -0.065
          1.316	 -0.075	 -0.070
          1.318	 -0.170	 -0.080
          1.320	 -0.225	 -0.080
          1.322	 -0.220	 -0.080
          1.324	 -0.210	 -0.080
          1.326	 -0.100	 -0.070
          1.328	 -0.150	 -0.060
          1.330	 -0.060	 -0.045
          1.332	  0.140	 -0.030
          1.334	  0.045	 -0.020
          1.336	 -0.085	 -0.010
          1.338	 -0.075	 -0.010
          1.340	 -0.100	 -0.010
          1.342	 -0.135	 -0.015
          1.344	 -0.210	 -0.025
          1.346	 -0.200	 -0.035
          1.348	 -0.065	 -0.045
          1.350	 -0.055	 -0.050
          1.352	 -0.005	 -0.055
          1.354	  0.015	 -0.055
          1.356	  0.105	 -0.055
          1.358	 -0.095	 -0.050
          1.360	 -0.180	 -0.045
          1.362	 -0.285	 -0.045
          1.364	 -0.195	 -0.040
          1.366	 -0.090	 -0.040
          1.368	 -0.135	 -0.040
          1.370	 -0.090	 -0.040
          1.372	  0.000	 -0.040
          1.374	  0.180	 -0.035
          1.376	  0.000	 -0.030
          1.378	 -0.100	 -0.025
          1.380	 -0.155	 -0.020
          1.382	 -0.245	 -0.010
          1.384	 -0.120	 -0.005
          1.386	 -0.135	  0.000
          1.388	 -0.080	  0.005
          1.390	  0.020	  0.010
          1.392	  0.140	  0.015
          1.394	  0.135	  0.010
          1.396	 -0.015	  0.010
          1.398	 -0.045	  0.005
          1.400	 -0.015	 -0.005
          1.402	 -0.200	 -0.015
          1.404	 -0.300	 -0.025
          1.406	 -0.210	 -0.035
          1.408	 -0.065	 -0.040
          1.410	 -0.045	 -0.045
          1.412	  0.160	 -0.040
          1.414	  0.065	 -0.030
          1.416	 -0.065	 -0.020
          1.418	 -0.075	 -0.010
          1.420	 -0.080	 -0.005
          1.422	 -0.255	 -0.005
          1.424	 -0.130	 -0.010
          1.426	 -0.135	 -0.020
          1.428	 -0.030	 -0.040
          1.430	 -0.065	 -0.060
          1.432	  0.030	 -0.075
          1.434	 -0.075	 -0.085
          1.436	 -0.055	 -0.090
          1.438	 -0.080	 -0.085
          1.440	 -0.180	 -0.070
          1.442	 -0.255	 -0.060
          1.444	 -0.305	 -0.050
          1.446	 -0.175	 -0.045
          1.448	 -0.075	 -0.045
          1.450	 -0.030	 -0.055
          1.452	  0.110	 -0.070
          1.454	  0.005	 -0.090
          1.456	 -0.085	 -0.100
          1.458	 -0.185	 -0.100
          1.460	 -0.285	 -0.080
          1.462	 -0.280	 -0.045
          1.464	 -0.170	  0.010
          1.466	  0.010	  0.085
          1.468	  0.095	  0.170
          1.470	  0.290	  0.270
          1.472	  0.575	  0.370
          1.474	  0.645	  0.465
          1.476	  0.620	  0.555
          1.478	  0.585	  0.625
          1.480	  0.490	  0.680
          1.482	  0.540	  0.710
          1.484	  0.500	  0.710
          1.486	  0.525	  0.680
          1.488	  0.580	  0.625
          1.490	  0.665	  0.550
          1.492	  0.610	  0.450
          1.494	  0.465	  0.345
          1.496	  0.225	  0.240
          1.498	  0.010	  0.140
          1.500	 -0.235	  0.050
          1.502	 -0.285	 -0.015
          1.504	 -0.300	 -0.065
          1.506	 -0.140	 -0.090
          1.508	 -0.125	 -0.100
          1.510	  0.065	 -0.095
          1.512	  0.025	 -0.085
          1.514	 -0.070	 -0.070
          1.516	 -0.040	 -0.055
          1.518	 -0.115	 -0.040
          1.520	 -0.235	 -0.035
          1.522	 -0.165	 -0.035
          1.524	 -0.125	 -0.035
          1.526	 -0.175	 -0.045
          1.528	 -0.080	 -0.060
          1.530	 -0.015	 -0.070
          1.532	  0.055	 -0.080
          1.534	 -0.040	 -0.085
          1.536	 -0.160	 -0.085
          1.538	 -0.150	 -0.080
          1.540	 -0.210	 -0.075
          1.542	 -0.275	 -0.060
          1.544	 -0.110	 -0.045
          1.546	 -0.135	 -0.035
          1.548	 -0.125	 -0.025
          1.550	  0.100	 -0.025
          1.552	  0.060	 -0.025
          1.554	 -0.045	 -0.030
          1.556	 -0.035	 -0.040
          1.558	 -0.065	 -0.045
          1.560	 -0.195	 -0.050
          1.562	 -0.280	 -0.050
          1.564	 -0.185	 -0.045
          1.566	 -0.065	 -0.040
          1.568	 -0.075	 -0.030
          1.570	  0.045	 -0.025
          1.572	  0.025	 -0.020
          1.574	  0.060	 -0.015
          1.576	 -0.020	 -0.015
          1.578	 -0.105	 -0.020
          1.580	 -0.155	 -0.025
          1.582	 -0.240	 -0.030
          1.584	 -0.200	 -0.035
          1.586	 -0.055	 -0.035
          1.588	 -0.055	 -0.035
          1.590	  0.005	 -0.035
          1.592	  0.080	 -0.030
          1.594	  0.015	 -0.025
          1.596	 -0.080	 -0.020
          1.598	 -0.085	 -0.015
          1.600	 -0.235	 -0.010
          1.602	 -0.140	 -0.005
          1.604	 -0.130	 -0.005
          1.606	 -0.080	  0.000
          1.608	 -0.025	  0.000
          1.610	  0.105	 -0.005
          1.612	  0.010	 -0.010
          1.614	  0.030	 -0.015
          1.616	 -0.020	 -0.025
          1.618	 -0.135	 -0.030
          1.620	 -0.235	 -0.035
          1.622	 -0.215	 -0.035
          1.624	 -0.125	 -0.035
          1.626	 -0.125	 -0.030
          1.628	  0.010	 -0.025
          1.630	  0.150	 -0.020
          1.632	  0.025	 -0.010
          1.634	 -0.065	  0.000
          1.636	 -0.025	  0.005
          1.638	 -0.035	  0.015
          1.640	 -0.035	  0.025
          1.642	 -0.190	  0.030
          1.644	 -0.045	  0.040
          1.646	 -0.020	  0.045
          1.648	 -0.020	  0.050
          1.650	  0.115	  0.050
          1.652	  0.090	  0.050
          1.654	  0.105	  0.050
          1.656	  0.070	  0.050
          1.658	  0.010	  0.050
          1.660	 -0.025	  0.045
          1.662	 -0.195	  0.050
          1.664	 -0.160	  0.050
          1.666	  0.010	  0.060
          1.668	  0.135	  0.070
          1.670	  0.180	  0.085
          1.672	  0.150	  0.100
          1.674	  0.150	  0.115
          1.676	  0.080	  0.130
          1.678	  0.005	  0.140
          1.680	 -0.015	  0.150
          1.682	 -0.035	  0.160
          1.684	  0.090	  0.160
          1.686	  0.180	  0.160
          1.688	  0.160	  0.160
          1.690	  0.245	  0.155
          1.692	  0.265	  0.155
          1.694	  0.195	  0.150
          1.696	  0.015	  0.150
          1.698	  0.010	  0.150
