   Elapsed time	   ECG1	   ECG2
         10.570	 -0.540	  0.760
         10.578	 -0.430	  0.700
         10.586	 -0.410	  0.620
         10.594	 -0.280	  0.530
         10.602	 -0.130	  0.430
         10.609	 -0.060	  0.360
         10.617	 -0.050	  0.290
         10.625	  0.020	  0.220
         10.633	 -0.060	  0.120
         10.641	  0.030	  0.090
         10.648	 -0.050	  0.050
         10.656	  0.030	  0.060
         10.664	 -0.030	  0.020
         10.672	  0.020	  0.030
         10.680	  0.020	  0.000
         10.688	 -0.040	  0.010
         10.695	 -0.090	  0.050
         10.703	 -0.080	 -0.020
         10.711	 -0.020	  0.000
         10.719	 -0.070	  0.020
         10.727	 -0.060	  0.020
         10.734	 -0.080	  0.030
         10.742	 -0.040	  0.000
         10.750	 -0.140	  0.020
         10.758	 -0.100	  0.030
         10.766	 -0.120	 -0.010
         10.773	 -0.020	  0.050
         10.781	 -0.070	  0.020
         10.789	 -0.070	  0.040
         10.797	 -0.120	 -0.010
         10.805	 -0.060	  0.010
         10.812	 -0.070	 -0.020
         10.820	 -0.070	  0.010
         10.828	 -0.020	  0.000
         10.836	  0.020	  0.000
         10.844	 -0.040	 -0.030
         10.852	 -0.080	  0.000
         10.859	 -0.030	 -0.040
         10.867	 -0.070	  0.050
         10.875	 -0.030	  0.120
         10.883	 -0.100	  0.150
         10.891	 -0.070	  0.130
         10.898	 -0.010	  0.140
         10.906	  0.030	  0.060
         10.914	 -0.070	 -0.010
         10.922	  0.010	 -0.010
         10.930	  0.060	 -0.030
         10.938	  0.080	 -0.070
         10.945	  0.030	 -0.090
         10.953	  0.020	 -0.070
         10.961	 -0.010	 -0.110
         10.969	 -0.020	 -0.050
         10.977	 -0.010	 -0.050
         10.984	 -0.060	 -0.070
         10.992	  0.020	 -0.060
         11.000	 -0.030	 -0.070
         11.008	 -0.040	 -0.090
         11.016	 -0.040	 -0.080
         11.023	  0.010	 -0.090
         11.031	 -0.060	 -0.050
         11.039	  0.020	 -0.100
         11.047	  0.020	 -0.080
         11.055	 -0.020	 -0.080
         11.062	 -0.030	 -0.080
         11.070	 -0.030	 -0.070
         11.078	  0.000	 -0.050
         11.086	 -0.010	 -0.070
         11.094	  0.030	 -0.060
         11.102	 -0.010	 -0.070
         11.109	  0.070	 -0.070
         11.117	  0.070	 -0.040
         11.125	  0.370	  0.080
         11.133	  0.620	  0.050
         11.141	  1.620	 -1.050
         11.148	  2.110	 -3.090
         11.156	  1.600	 -4.090
         11.164	  0.950	 -4.410
         11.172	  0.590	 -3.440
         11.180	  0.180	 -2.530
         11.188	 -0.190	 -2.030
         11.195	 -0.510	 -1.490
         11.203	 -0.480	 -1.030
         11.211	 -0.300	 -0.760
         11.219	 -0.280	 -0.530
         11.227	 -0.130	 -0.160
         11.234	 -0.110	  0.120
         11.242	 -0.140	  0.170
         11.250	 -0.170	  0.230
         11.258	 -0.150	  0.200
         11.266	 -0.240	  0.230
         11.273	 -0.170	  0.230
         11.281	 -0.240	  0.260
         11.289	 -0.260	  0.320
         11.297	 -0.270	  0.300
         11.305	 -0.220	  0.320
         11.312	 -0.300	  0.350
         11.320	 -0.320	  0.390
         11.328	 -0.330	  0.390
         11.336	 -0.360	  0.440
         11.344	 -0.350	  0.490
         11.352	 -0.410	  0.550
         11.359	 -0.390	  0.570
         11.367	 -0.470	  0.630
         11.375	 -0.400	  0.680
         11.383	 -0.600	  0.720
         11.391	 -0.530	  0.760
         11.398	 -0.580	  0.770
         11.406	 -0.600	  0.780
         11.414	 -0.660	  0.860
         11.422	 -0.620	  0.790
         11.430	 -0.670	  0.820
         11.438	 -0.640	  0.800
         11.445	 -0.590	  0.770
         11.453	 -0.550	  0.720
         11.461	 -0.420	  0.660
         11.469	 -0.340	  0.560
         11.477	 -0.220	  0.530
         11.484	 -0.210	  0.390
         11.492	 -0.050	  0.310
         11.500	 -0.160	  0.260
         11.508	 -0.020	  0.150
         11.516	 -0.070	  0.110
         11.523	 -0.020	  0.060
         11.531	 -0.050	  0.080
         11.539	 -0.070	  0.050
         11.547	 -0.110	  0.060
         11.555	 -0.070	  0.050
         11.562	 -0.090	  0.040
         11.570	 -0.110	  0.050
         11.578	 -0.090	  0.030
         11.586	 -0.140	  0.050
         11.594	 -0.140	  0.040
         11.602	 -0.180	  0.040
         11.609	 -0.130	  0.040
         11.617	 -0.170	  0.050
         11.625	 -0.110	  0.070
         11.633	 -0.210	  0.040
         11.641	 -0.140	  0.050
         11.648	 -0.180	  0.070
         11.656	 -0.150	  0.030
         11.664	 -0.230	  0.090
         11.672	 -0.110	  0.060
         11.680	 -0.140	  0.060
         11.688	 -0.140	  0.070
         11.695	 -0.180	  0.080
         11.703	 -0.160	  0.060
         11.711	 -0.150	  0.060
         11.719	 -0.160	  0.060
         11.727	 -0.120	  0.070
         11.734	 -0.130	  0.080
         11.742	 -0.090	  0.070
         11.750	 -0.180	  0.050
         11.758	 -0.120	  0.050
         11.766	 -0.180	  0.050
         11.773	 -0.070	  0.030
         11.781	 -0.150	  0.120
         11.789	 -0.130	  0.190
         11.797	 -0.180	  0.200
         11.805	 -0.150	  0.180
         11.812	 -0.160	  0.200
         11.820	 -0.100	  0.080
         11.828	 -0.110	  0.050
         11.836	 -0.050	  0.030
         11.844	 -0.060	  0.000
         11.852	 -0.090	 -0.020
         11.859	 -0.100	 -0.010
         11.867	 -0.090	 -0.040
         11.875	 -0.100	 -0.040
         11.883	 -0.110	  0.010
         11.891	 -0.130	  0.000
         11.898	 -0.130	 -0.030
         11.906	 -0.110	 -0.040
         11.914	 -0.160	 -0.010
         11.922	 -0.140	 -0.060
         11.930	 -0.120	 -0.030
         11.938	 -0.100	  0.000
         11.945	 -0.140	 -0.030
         11.953	 -0.120	 -0.030
         11.961	 -0.110	 -0.050
         11.969	 -0.140	 -0.050
         11.977	 -0.130	 -0.030
         11.984	 -0.120	 -0.030
         11.992	 -0.090	 -0.020
         12.000	 -0.110	 -0.040
         12.008	 -0.080	 -0.040
         12.016	 -0.180	 -0.050
         12.023	 -0.050	 -0.030
         12.031	 -0.090	  0.030
         12.039	  0.170	  0.110
         12.047	  0.440	  0.130
         12.055	  1.380	 -0.670
         12.062	  2.110	 -2.590
         12.070	  1.850	 -3.530
         12.078	  1.250	 -3.890
         12.086	  0.830	 -3.080
         12.094	  0.450	 -2.250
         12.102	 -0.100	 -1.840
         12.109	 -0.740	 -1.380
         12.117	 -0.670	 -0.930
         12.125	 -0.460	 -0.680
         12.133	 -0.410	 -0.460
         12.141	 -0.260	 -0.030
         12.148	 -0.240	  0.130
         12.156	 -0.280	  0.220
         12.164	 -0.300	  0.220
         12.172	 -0.320	  0.240
         12.180	 -0.400	  0.250
         12.188	 -0.290	  0.270
         12.195	 -0.350	  0.310
         12.203	 -0.370	  0.310
         12.211	 -0.370	  0.310
         12.219	 -0.390	  0.340
         12.227	 -0.470	  0.350
         12.234	 -0.470	  0.370
         12.242	 -0.440	  0.410
         12.250	 -0.530	  0.410
         12.258	 -0.480	  0.540
         12.266	 -0.540	  0.470
         12.273	 -0.530	  0.550
         12.281	 -0.620	  0.590
         12.289	 -0.620	  0.650
         12.297	 -0.690	  0.670
         12.305	 -0.650	  0.740
         12.312	 -0.740	  0.770
         12.320	 -0.730	  0.790
         12.328	 -0.800	  0.800
         12.336	 -0.780	  0.830
         12.344	 -0.780	  0.810
         12.352	 -0.780	  0.820
         12.359	 -0.690	  0.780
         12.367	 -0.650	  0.730
         12.375	 -0.490	  0.650
         12.383	 -0.490	  0.590
         12.391	 -0.340	  0.480
         12.398	 -0.240	  0.430
         12.406	 -0.110	  0.310
         12.414	 -0.180	  0.250
         12.422	 -0.090	  0.150
         12.430	 -0.110	  0.120
         12.438	 -0.080	  0.010
         12.445	 -0.140	  0.050
         12.453	 -0.110	  0.020
         12.461	 -0.130	  0.060
         12.469	 -0.110	  0.010
         12.477	 -0.110	  0.000
         12.484	 -0.150	  0.010
         12.492	 -0.140	  0.020
         12.500	 -0.170	  0.010
         12.508	 -0.150	  0.020
         12.516	 -0.190	  0.000
         12.523	 -0.160	  0.030
         12.531	 -0.200	  0.020
         12.539	 -0.160	  0.040
         12.547	 -0.210	  0.030
         12.555	 -0.160	  0.040
         12.562	 -0.170	  0.030
         12.570	 -0.130	  0.040
         12.578	 -0.160	  0.060
         12.586	 -0.140	  0.020
         12.594	 -0.170	  0.020
         12.602	 -0.180	  0.020
         12.609	 -0.120	  0.010
         12.617	 -0.180	  0.010
         12.625	 -0.140	  0.020
         12.633	 -0.160	 -0.010
         12.641	 -0.090	  0.010
         12.648	 -0.230	 -0.040
         12.656	 -0.130	 -0.010
         12.664	 -0.140	 -0.020
         12.672	 -0.110	  0.000
         12.680	 -0.150	  0.080
         12.688	 -0.110	  0.130
         12.695	 -0.180	  0.110
         12.703	 -0.160	  0.140
         12.711	 -0.060	  0.070
         12.719	 -0.080	 -0.060
         12.727	 -0.060	  0.020
         12.734	  0.000	 -0.060
         12.742	  0.020	 -0.080
         12.750	 -0.020	 -0.110
         12.758	 -0.040	 -0.100
         12.766	 -0.090	 -0.140
         12.773	 -0.010	 -0.120
         12.781	 -0.050	 -0.080
         12.789	 -0.070	 -0.070
         12.797	 -0.040	 -0.100
         12.805	 -0.060	 -0.130
         12.812	 -0.070	 -0.110
         12.820	 -0.100	 -0.130
         12.828	 -0.040	 -0.080
         12.836	 -0.050	 -0.070
         12.844	 -0.030	 -0.090
         12.852	 -0.060	 -0.050
         12.859	 -0.070	 -0.100
         12.867	 -0.020	 -0.090
         12.875	 -0.030	 -0.090
         12.883	 -0.130	 -0.080
         12.891	 -0.010	 -0.050
         12.898	 -0.060	 -0.060
         12.906	  0.010	 -0.070
         12.914	 -0.090	 -0.080
         12.922	  0.000	 -0.070
         12.930	  0.120	 -0.020
         12.938	  0.480	  0.150
         12.945	  0.940	 -0.260
         12.953	  1.930	 -2.030
         12.961	  1.960	 -3.560
         12.969	  1.430	 -4.440
         12.977	  0.650	 -4.030
         12.984	  0.370	 -2.890
         12.992	 -0.040	 -2.450
         13.000	 -0.520	 -1.730
         13.008	 -0.430	 -1.310
         13.016	 -0.480	 -0.880
         13.023	 -0.320	 -0.670
         13.031	 -0.240	 -0.380
         13.039	 -0.110	 -0.010
         13.047	 -0.150	  0.200
         13.055	 -0.140	  0.190
         13.062	 -0.160	  0.190
         13.070	 -0.190	  0.240
         13.078	 -0.210	  0.190
         13.086	 -0.220	  0.260
         13.094	 -0.240	  0.270
         13.102	 -0.250	  0.270
         13.109	 -0.230	  0.330
         13.117	 -0.280	  0.290
         13.125	 -0.290	  0.340
         13.133	 -0.340	  0.380
         13.141	 -0.300	  0.380
         13.148	 -0.370	  0.420
         13.156	 -0.330	  0.470
         13.164	 -0.430	  0.540
         13.172	 -0.390	  0.560
         13.180	 -0.450	  0.600
         13.188	 -0.500	  0.660
         13.195	 -0.500	  0.730
         13.203	 -0.540	  0.720
         13.211	 -0.590	  0.740
         13.219	 -0.640	  0.790
         13.227	 -0.620	  0.820
         13.234	 -0.710	  0.800
         13.242	 -0.630	  0.780
         13.250	 -0.560	  0.800
         13.258	 -0.520	  0.700
         13.266	 -0.480	  0.660
         13.273	 -0.260	  0.560
         13.281	 -0.280	  0.470
         13.289	 -0.160	  0.400
         13.297	 -0.080	  0.290
         13.305	  0.040	  0.180
         13.312	  0.000	  0.130
         13.320	  0.030	  0.060
         13.328	  0.010	  0.040
         13.336	  0.040	  0.020
         13.344	  0.070	 -0.030
         13.352	 -0.050	 -0.040
         13.359	  0.070	 -0.010
         13.367	  0.050	 -0.040
         13.375	 -0.010	 -0.030
         13.383	 -0.040	 -0.020
         13.391	 -0.010	 -0.050
         13.398	 -0.060	 -0.010
         13.406	  0.070	 -0.030
         13.414	 -0.100	  0.000
         13.422	 -0.030	 -0.010
         13.430	 -0.050	  0.030
         13.438	 -0.060	 -0.020
         13.445	 -0.140	  0.000
         13.453	  0.000	  0.000
         13.461	 -0.060	  0.040
         13.469	  0.000	 -0.020
         13.477	 -0.060	 -0.010
         13.484	 -0.040	 -0.010
         13.492	 -0.090	  0.000
         13.500	 -0.070	  0.010
         13.508	 -0.020	 -0.010
         13.516	 -0.060	 -0.030
         13.523	  0.070	  0.020
         13.531	  0.010	 -0.040
         13.539	 -0.020	 -0.010
         13.547	 -0.060	  0.000
         13.555	 -0.030	  0.060
         13.562	 -0.060	  0.130
         13.570	  0.010	  0.110
         13.578	 -0.040	  0.180
         13.586	  0.030	  0.130
         13.594	  0.040	  0.060
         13.602	  0.080	  0.020
         13.609	  0.020	  0.010
         13.617	  0.040	 -0.030
         13.625	  0.150	 -0.060
         13.633	  0.080	 -0.060
         13.641	  0.100	 -0.120
         13.648	  0.030	 -0.030
         13.656	  0.070	 -0.060
         13.664	  0.030	 -0.080
         13.672	  0.080	 -0.060
         13.680	  0.030	 -0.080
         13.688	  0.100	 -0.080
         13.695	  0.020	 -0.080
         13.703	  0.030	 -0.080
         13.711	  0.040	 -0.070
         13.719	  0.080	 -0.100
         13.727	  0.040	 -0.060
         13.734	  0.070	 -0.070
         13.742	  0.070	 -0.050
         13.750	  0.030	 -0.070
         13.758	  0.080	 -0.040
         13.766	  0.020	 -0.060
         13.773	  0.060	 -0.070
         13.781	  0.060	 -0.050
         13.789	  0.090	 -0.030
         13.797	  0.060	 -0.040
         13.805	  0.220	 -0.020
         13.812	  0.480	  0.140
         13.820	  0.830	 -0.080
         13.828	  1.770	 -1.460
         13.836	  2.130	 -3.330
         13.844	  1.500	 -4.380
         13.852	  0.820	 -4.440
         13.859	  0.510	 -3.340
         13.867	  0.090	 -2.580
         13.875	 -0.210	 -1.950
         13.883	 -0.390	 -1.450
         13.891	 -0.330	 -0.930
         13.898	 -0.230	 -0.680
         13.906	 -0.090	 -0.420
         13.914	 -0.130	  0.000
         13.922	  0.000	  0.230
         13.930	 -0.100	  0.250
         13.938	 -0.050	  0.270
         13.945	 -0.070	  0.290
         13.953	 -0.080	  0.320
         13.961	 -0.150	  0.300
         13.969	 -0.150	  0.360
         13.977	 -0.200	  0.320
         13.984	 -0.170	  0.360
         13.992	 -0.160	  0.400
         14.000	 -0.200	  0.430
         14.008	 -0.180	  0.460
         14.016	 -0.230	  0.500
         14.023	 -0.240	  0.570
         14.031	 -0.310	  0.580
         14.039	 -0.240	  0.660
         14.047	 -0.340	  0.680
         14.055	 -0.290	  0.760
         14.062	 -0.390	  0.780
         14.070	 -0.380	  0.800
         14.078	 -0.470	  0.890
         14.086	 -0.460	  0.860
         14.094	 -0.550	  0.930
         14.102	 -0.530	  0.930
         14.109	 -0.560	  0.970
         14.117	 -0.570	  0.960
         14.125	 -0.560	  0.930
         14.133	 -0.510	  0.920
         14.141	 -0.390	  0.830
         14.148	 -0.320	  0.760
         14.156	 -0.200	  0.690
         14.164	 -0.130	  0.590
         14.172	 -0.010	  0.490
         14.180	 -0.040	  0.420
         14.188	  0.010	  0.320
         14.195	 -0.020	  0.300
         14.203	  0.130	  0.190
         14.211	 -0.030	  0.190
         14.219	  0.050	  0.150
         14.227	 -0.010	  0.130
         14.234	  0.030	  0.130
         14.242	 -0.030	  0.130
         14.250	  0.000	  0.120
         14.258	 -0.010	  0.140
         14.266	 -0.020	  0.170
         14.273	  0.020	  0.180
         14.281	 -0.110	  0.160
         14.289	 -0.030	  0.160
         14.297	 -0.040	  0.200
         14.305	 -0.020	  0.190
         14.312	 -0.090	  0.200
         14.320	  0.040	  0.170
         14.328	 -0.020	  0.220
         14.336	 -0.010	  0.190
         14.344	 -0.020	  0.200
         14.352	  0.020	  0.230
         14.359	  0.010	  0.200
         14.367	  0.050	  0.200
         14.375	 -0.070	  0.200
         14.383	 -0.040	  0.170
         14.391	 -0.020	  0.180
         14.398	 -0.060	  0.170
         14.406	 -0.040	  0.170
         14.414	 -0.040	  0.160
         14.422	 -0.010	  0.150
         14.430	 -0.040	  0.170
         14.438	  0.010	  0.170
         14.445	 -0.070	  0.140
         14.453	  0.000	  0.150
         14.461	 -0.050	  0.210
         14.469	 -0.040	  0.280
         14.477	 -0.080	  0.350
         14.484	 -0.020	  0.320
         14.492	 -0.090	  0.340
         14.500	 -0.040	  0.260
         14.508	 -0.010	  0.190
         14.516	 -0.020	  0.180
         14.523	  0.020	  0.160
         14.531	  0.000	  0.110
         14.539	  0.030	  0.130
         14.547	 -0.060	  0.130
         14.555	  0.010	  0.110
         14.562	 -0.080	  0.160
         14.570	 -0.020	  0.150
         14.578	 -0.060	  0.150
         14.586	 -0.020	  0.150
         14.594	 -0.070	  0.140
         14.602	 -0.050	  0.110
         14.609	 -0.070	  0.120
         14.617	 -0.020	  0.110
         14.625	 -0.020	  0.100
         14.633	 -0.060	  0.130
         14.641	 -0.020	  0.110
         14.648	 -0.050	  0.120
         14.656	 -0.070	  0.100
         14.664	 -0.080	  0.120
         14.672	  0.020	  0.150
         14.680	 -0.070	  0.110
         14.688	 -0.030	  0.140
         14.695	 -0.050	  0.150
         14.703	 -0.040	  0.150
         14.711	 -0.020	  0.200
         14.719	  0.150	  0.260
         14.727	  0.400	  0.420
         14.734	  1.170	 -0.050
         14.742	  2.060	 -1.770
         14.750	  2.010	 -3.100
         14.758	  1.570	 -3.920
         14.766	  0.880	 -3.400
         14.773	  0.560	 -2.370
         14.781	  0.060	 -1.970
         14.789	 -0.580	 -1.420
         14.797	 -0.580	 -0.950
         14.805	 -0.430	 -0.620
         14.812	 -0.410	 -0.400
         14.820	 -0.220	 -0.040
         14.828	 -0.210	  0.210
         14.836	 -0.170	  0.370
         14.844	 -0.270	  0.370
         14.852	 -0.190	  0.360
         14.859	 -0.220	  0.370
         14.867	 -0.270	  0.370
         14.875	 -0.330	  0.380
         14.883	 -0.270	  0.400
         14.891	 -0.250	  0.420
         14.898	 -0.310	  0.480
         14.906	 -0.280	  0.440
         14.914	 -0.370	  0.490
         14.922	 -0.360	  0.490
         14.930	 -0.430	  0.560
         14.938	 -0.400	  0.560
         14.945	 -0.470	  0.650
         14.953	 -0.410	  0.650
         14.961	 -0.530	  0.710
         14.969	 -0.510	  0.720
         14.977	 -0.580	  0.780
         14.984	 -0.580	  0.810
         14.992	 -0.650	  0.850
         15.000	 -0.630	  0.880
         15.008	 -0.660	  0.910
         15.016	 -0.710	  0.940
         15.023	 -0.670	  0.940
         15.031	 -0.730	  0.950
         15.039	 -0.590	  0.900
         15.047	 -0.580	  0.880
         15.055	 -0.420	  0.810
         15.062	 -0.410	  0.760
         15.070	 -0.580	  0.770
         15.078	 -0.390	 -0.040
         15.086	  0.200	  1.400
         15.094	  0.300	  0.540
         15.102	  0.080	  1.840
         15.109	  0.360	  2.640
         15.117	  0.440	  3.410
         15.125	  0.430	  3.430
         15.133	  0.410	  3.410
         15.141	  0.370	  3.290
         15.148	  0.310	  3.170
         15.156	  0.240	  3.060
         15.164	  0.220	  2.840
         15.172	  0.160	  2.530
         15.180	  0.170	  2.150
         15.188	  0.050	  1.710
         15.195	  0.050	  1.190
         15.203	 -0.020	  0.700
         15.211	 -0.010	  0.380
         15.219	 -0.050	  0.260
         15.227	 -0.070	  0.160
         15.234	 -0.030	  0.180
         15.242	 -0.030	  0.210
         15.250	 -0.040	  0.220
         15.258	  0.000	  0.180
         15.266	 -0.040	  0.170
         15.273	  0.000	  0.170
         15.281	 -0.060	  0.170
         15.289	  0.000	  0.160
         15.297	 -0.060	  0.140
         15.305	  0.010	  0.110
         15.312	 -0.080	  0.080
         15.320	  0.020	  0.060
         15.328	 -0.040	  0.070
         15.336	 -0.020	  0.030
         15.344	 -0.100	  0.030
         15.352	  0.010	  0.030
         15.359	 -0.080	  0.160
         15.367	 -0.060	  0.140
         15.375	 -0.060	  0.170
         15.383	 -0.010	  0.210
         15.391	  0.010	  0.270
         15.398	 -0.010	  0.220
         15.406	  0.020	  0.050
         15.414	 -0.010	  0.010
         15.422	  0.080	 -0.050
         15.430	  0.040	 -0.050
         15.438	  0.080	 -0.050
         15.445	 -0.020	 -0.100
         15.453	  0.040	 -0.090
         15.461	 -0.010	 -0.060
         15.469	  0.090	 -0.120
         15.477	  0.040	 -0.090
         15.484	  0.100	 -0.130
         15.492	  0.070	 -0.110
         15.500	  0.060	 -0.170
         15.508	  0.070	 -0.160
         15.516	  0.070	 -0.160
         15.523	  0.060	 -0.150
         15.531	  0.050	 -0.150
         15.539	  0.150	 -0.150
         15.547	  0.030	 -0.170
         15.555	  0.070	 -0.170
         15.562	  0.030	 -0.140
         15.570	  0.060	 -0.150
         15.578	  0.050	 -0.130
         15.586	  0.110	 -0.130
         15.594	  0.080	 -0.120
         15.602	  0.080	 -0.110
         15.609	  0.140	 -0.100
         15.617	  0.330	  0.040
         15.625	  0.640	  0.030
         15.633	  1.520	 -0.650
         15.641	  2.170	 -2.670
         15.648	  1.680	 -3.900
         15.656	  1.180	 -4.410
         15.664	  0.670	 -3.630
         15.672	  0.360	 -2.560
         15.680	 -0.190	 -2.160
         15.688	 -0.410	 -1.640
         15.695	 -0.420	 -1.150
         15.703	 -0.190	 -0.850
         15.711	 -0.220	 -0.660
         15.719	 -0.120	 -0.240
         15.727	  0.030	  0.020
         15.734	 -0.060	  0.090
         15.742	 -0.070	  0.190
         15.750	 -0.060	  0.140
         15.758	 -0.110	  0.170
         15.766	 -0.120	  0.200
         15.773	 -0.140	  0.210
         15.781	 -0.190	  0.210
         15.789	 -0.180	  0.230
         15.797	 -0.150	  0.280
         15.805	 -0.230	  0.240
         15.812	 -0.270	  0.310
         15.820	 -0.200	  0.300
         15.828	 -0.260	  0.340
         15.836	 -0.280	  0.390
         15.844	 -0.300	  0.420
         15.852	 -0.290	  0.450
         15.859	 -0.320	  0.550
         15.867	 -0.330	  0.530
         15.875	 -0.410	  0.600
         15.883	 -0.440	  0.670
         15.891	 -0.410	  0.660
         15.898	 -0.480	  0.730
         15.906	 -0.510	  0.740
         15.914	 -0.580	  0.750
         15.922	 -0.520	  0.750
         15.930	 -0.540	  0.700
         15.938	 -0.430	  0.690
         15.945	 -0.420	  0.640
         15.953	 -0.250	  0.560
         15.961	 -0.130	  0.500
         15.969	 -0.070	  0.350
         15.977	 -0.010	  0.280
         15.984	  0.050	  0.180
         15.992	  0.080	  0.100
         16.000	  0.120	  0.000
         16.008	  0.080	 -0.010
         16.016	  0.140	 -0.060
         16.023	  0.120	 -0.060
         16.031	  0.080	 -0.070
         16.039	  0.100	 -0.080
         16.047	  0.060	 -0.080
         16.055	  0.100	 -0.110
         16.062	  0.050	 -0.090
         16.070	  0.120	 -0.110
         16.078	  0.040	 -0.150
         16.086	  0.000	 -0.070
         16.094	 -0.010	 -0.130
         16.102	  0.030	 -0.100
         16.109	  0.030	 -0.110
         16.117	  0.060	 -0.090
         16.125	  0.000	 -0.080
         16.133	 -0.020	 -0.100
         16.141	 -0.040	 -0.060
         16.148	  0.030	 -0.060
         16.156	 -0.020	 -0.030
         16.164	  0.020	 -0.070
         16.172	  0.110	 -0.050
         16.180	  0.060	 -0.060
         16.188	  0.030	 -0.060
         16.195	  0.060	 -0.080
         16.203	  0.130	 -0.110
         16.211	  0.090	 -0.100
         16.219	  0.180	 -0.090
         16.227	  0.040	 -0.110
         16.234	  0.210	 -0.150
         16.242	  0.080	 -0.170
         16.250	  0.070	 -0.130
         16.258	  0.060	 -0.070
         16.266	  0.100	  0.000
         16.273	 -0.010	  0.010
         16.281	  0.010	  0.040
         16.289	  0.140	  0.010
         16.297	  0.070	 -0.100
         16.305	  0.130	 -0.090
         16.312	  0.090	 -0.150
         16.320	  0.130	 -0.180
         16.328	  0.210	 -0.200
         16.336	  0.170	 -0.180
         16.344	  0.070	 -0.240
         16.352	  0.130	 -0.240
         16.359	  0.120	 -0.160
         16.367	  0.120	 -0.220
         16.375	  0.100	 -0.210
         16.383	  0.110	 -0.220
         16.391	  0.130	 -0.220
         16.398	  0.120	 -0.220
         16.406	  0.080	 -0.240
         16.414	  0.100	 -0.190
         16.422	  0.090	 -0.210
         16.430	  0.120	 -0.220
         16.438	  0.130	 -0.220
         16.445	  0.100	 -0.200
         16.453	  0.070	 -0.230
         16.461	  0.050	 -0.190
         16.469	  0.120	 -0.230
         16.477	  0.080	 -0.210
         16.484	  0.120	 -0.160
         16.492	  0.090	 -0.220
         16.500	  0.130	 -0.190
         16.508	  0.210	 -0.140
         16.516	  0.560	 -0.010
         16.523	  0.830	 -0.150
         16.531	  1.870	 -1.470
         16.539	  2.150	 -3.480
         16.547	  1.580	 -4.530
         16.555	  0.780	 -4.570
         16.562	  0.580	 -3.590
         16.570	  0.150	 -2.750
         16.578	 -0.200	 -2.260
         16.586	 -0.320	 -1.690
         16.594	 -0.380	 -1.220
         16.602	 -0.200	 -0.940
         16.609	 -0.150	 -0.690
         16.617	 -0.070	 -0.320
         16.625	 -0.030	 -0.030
         16.633	 -0.010	  0.030
         16.641	 -0.050	  0.090
         16.648	 -0.050	  0.120
         16.656	 -0.070	  0.110
         16.664	 -0.110	  0.140
         16.672	 -0.100	  0.210
         16.680	 -0.140	  0.170
         16.688	 -0.120	  0.210
         16.695	 -0.170	  0.220
         16.703	 -0.100	  0.230
         16.711	 -0.190	  0.280
         16.719	 -0.210	  0.290
         16.727	 -0.260	  0.350
         16.734	 -0.180	  0.350
         16.742	 -0.290	  0.430
         16.750	 -0.280	  0.500
         16.758	 -0.310	  0.540
